interaction_id,user_id,product_id,action,timestamp,name,age,gender,location,product_name,category,price,seller_id,transaction_id,quantity,purchase_time
I45,U104,P129,view,09-02-24,User104,34,Male,Delhi,Electronics_Product_129,Electronics,1425,S10,,,
I46,U313,P28,cart,20-09-24,User313,44,Female,Delhi,Sports_Product_28,Sports,1893,S10,,,
I47,U933,P185,purchase,10-06-24,User933,44,Male,Delhi,Clothing_Product_185,Clothing,2648,S28,T13,3,21-03-24
I48,U732,P171,view,09-05-24,User732,42,Male,Coimbatore,Footwear_Product_171,Footwear,3723,S36,,,
I49,U555,P113,cart,20-08-24,User555,18,Female,Pune,Home_Product_113,Home,1605,S17,,,
I50,U25,P166,cart,19-10-24,User25,18,Male,Pune,Accessories_Product_166,Accessories,4951,S9,,,
I51,U129,P36,purchase,21-05-24,User129,30,Female,Delhi,Electronics_Product_36,Electronics,931,S15,T14,2,04-01-24
I52,U542,P82,view,28-11-24,User542,32,Male,Mumbai,Home_Product_82,Home,2763,S32,,,
I53,U491,P58,purchase,30-07-24,User491,28,Female,Mumbai,Sports_Product_58,Sports,594,S5,T15,3,26-11-24
I54,U164,P131,cart,08-06-24,User164,27,Female,Madurai,Footwear_Product_131,Footwear,3244,S11,,,
I55,U719,P189,purchase,31-10-24,User719,20,Male,Trichy,Accessories_Product_189,Accessories,4410,S37,T16,2,31-03-24
I56,U257,P110,view,18-10-24,User257,41,Male,Coimbatore,Footwear_Product_110,Footwear,3424,S46,,,
I57,U357,P99,purchase,25-03-24,User357,35,Male,Madurai,Home_Product_99,Home,940,S17,T17,3,21-02-24
I58,U755,P22,cart,11-11-24,User755,44,Male,Coimbatore,Footwear_Product_22,Footwear,2174,S25,,,
I59,U407,P43,cart,12-08-24,User407,22,Female,Mumbai,Electronics_Product_43,Electronics,1176,S28,,,
I60,U547,P105,purchase,04-12-24,User547,27,Female,Mumbai,Clothing_Product_105,Clothing,3303,S48,T18,3,03-01-24
I61,U542,P113,view,11-01-24,User542,18,Male,Hyderabad,Home_Product_113,Home,1892,S12,,,
I62,U152,P139,cart,19-05-24,User152,27,Female,Coimbatore,Footwear_Product_139,Footwear,1576,S35,,,
I63,U503,P108,cart,16-04-24,User503,36,Female,Mumbai,Clothing_Product_108,Clothing,2526,S7,,,
I64,U121,P146,view,07-01-24,User121,35,Female,Delhi,Sports_Product_146,Sports,815,S33,,,
I65,U587,P80,cart,14-09-24,User587,39,Female,Madurai,Accessories_Product_80,Accessories,2851,S1,,,
I66,U453,P184,view,28-06-24,User453,27,Female,Pune,Accessories_Product_184,Accessories,4881,S32,,,
I67,U664,P97,view,14-04-24,User664,35,Male,Hyderabad,Accessories_Product_97,Accessories,4385,S13,,,
I68,U616,P133,cart,30-12-24,User616,27,Male,Coimbatore,Accessories_Product_133,Accessories,4549,S13,,,
I69,U539,P1,cart,18-07-24,User539,36,Female,Kolkata,Sports_Product_1,Sports,2952,S40,,,
I70,U998,P188,purchase,04-02-24,User998,33,Male,Hyderabad,Sports_Product_188,Sports,370,S27,T19,3,18-11-24
I71,U649,P200,view,18-05-24,User649,45,Male,Bangalore,Accessories_Product_200,Accessories,282,S23,,,
I72,U818,P182,cart,16-12-24,User818,35,Female,Delhi,Accessories_Product_182,Accessories,3985,S17,,,
I73,U174,P120,cart,24-01-24,User174,26,Male,Trichy,Home_Product_120,Home,3661,S5,,,
I74,U69,P169,cart,11-01-24,User69,23,Male,Bangalore,Accessories_Product_169,Accessories,3492,S41,,,
I75,U283,P155,purchase,16-04-24,User283,34,Male,Mumbai,Electronics_Product_155,Electronics,2935,S18,T20,1,08-02-24
I76,U851,P134,purchase,07-07-24,User851,32,Male,Delhi,Sports_Product_134,Sports,2632,S42,T21,3,31-12-24
I77,U277,P92,purchase,28-04-24,User277,30,Female,Delhi,Home_Product_92,Home,4161,S17,T22,3,17-06-24
I78,U228,P67,purchase,27-12-24,User228,25,Male,Trichy,Home_Product_67,Home,3498,S21,T23,2,07-05-24
I79,U195,P19,cart,25-03-24,User195,45,Female,Trichy,Sports_Product_19,Sports,1413,S39,,,
I80,U471,P135,cart,11-03-24,User471,42,Male,Coimbatore,Footwear_Product_135,Footwear,3158,S20,,,
I81,U247,P30,cart,15-04-24,User247,40,Female,Bangalore,Sports_Product_30,Sports,1071,S15,,,
I82,U330,P127,cart,05-04-24,User330,19,Male,Trichy,Clothing_Product_127,Clothing,390,S49,,,
I83,U700,P9,view,26-12-24,User700,34,Female,Pune,Accessories_Product_9,Accessories,2449,S8,,,
I84,U710,P45,purchase,23-04-24,User710,30,Male,Coimbatore,Clothing_Product_45,Clothing,3884,S25,T24,1,28-04-24
I85,U840,P73,view,07-10-24,User840,36,Female,Mumbai,Accessories_Product_73,Accessories,3900,S46,,,
I86,U339,P128,cart,26-02-24,User339,24,Male,Chennai,Home_Product_128,Home,326,S1,,,
I87,U328,P99,cart,27-05-24,User328,24,Female,Delhi,Home_Product_99,Home,1447,S2,,,
I88,U397,P38,view,04-10-24,User397,19,Female,Hyderabad,Sports_Product_38,Sports,1264,S6,,,
I89,U668,P78,cart,19-01-24,User668,35,Male,Madurai,Clothing_Product_78,Clothing,1256,S3,,,
I90,U800,P31,cart,16-02-24,User800,24,Male,Coimbatore,Accessories_Product_31,Accessories,1267,S48,,,
I91,U704,P50,cart,17-08-24,User704,30,Female,Hyderabad,Sports_Product_50,Sports,2328,S42,,,
I92,U249,P63,purchase,28-10-24,User249,43,Male,Pune,Clothing_Product_63,Clothing,3710,S39,T25,3,13-10-24
I93,U535,P16,purchase,07-10-24,User535,31,Male,Madurai,Electronics_Product_16,Electronics,3674,S43,T26,1,31-12-24
I94,U762,P157,cart,07-02-24,User762,26,Male,Bangalore,Sports_Product_157,Sports,1437,S4,,,
I95,U876,P110,view,28-01-24,User876,38,Male,Madurai,Clothing_Product_110,Clothing,4043,S33,,,
I96,U102,P81,cart,05-03-24,User102,35,Male,Coimbatore,Clothing_Product_81,Clothing,1250,S26,,,
I97,U921,P115,purchase,25-09-24,User921,26,Male,Hyderabad,Clothing_Product_115,Clothing,2865,S6,T27,2,18-01-24
I98,U60,P188,cart,09-06-24,User60,41,Male,Hyderabad,Electronics_Product_188,Electronics,3314,S8,,,
I99,U312,P25,purchase,05-05-24,User312,34,Male,Pune,Accessories_Product_25,Accessories,2974,S33,T28,2,26-10-24
I100,U108,P34,cart,17-08-24,User108,34,Male,Hyderabad,Sports_Product_34,Sports,1486,S13,,,
I101,U399,P134,cart,19-02-24,User399,31,Female,Delhi,Electronics_Product_134,Electronics,4909,S5,,,
I102,U308,P167,view,09-06-24,User308,31,Female,Pune,Home_Product_167,Home,3088,S18,,,
I103,U767,P192,cart,13-09-24,User767,18,Male,Delhi,Home_Product_192,Home,2797,S47,,,
I104,U804,P84,cart,05-02-24,User804,32,Female,Coimbatore,Home_Product_84,Home,3920,S24,,,
I105,U994,P98,purchase,23-10-24,User994,43,Male,Delhi,Clothing_Product_98,Clothing,599,S34,T29,2,21-10-24
I106,U803,P63,cart,20-10-24,User803,41,Female,Pune,Sports_Product_63,Sports,3232,S26,,,
I107,U476,P154,cart,29-09-24,User476,34,Male,Chennai,Electronics_Product_154,Electronics,1415,S17,,,
I108,U227,P145,purchase,27-02-24,User227,23,Female,Trichy,Footwear_Product_145,Footwear,610,S7,T30,3,14-12-24
I109,U732,P28,cart,13-05-24,User732,20,Male,Bangalore,Footwear_Product_28,Footwear,1980,S42,,,
I110,U524,P111,view,29-10-24,User524,29,Female,Hyderabad,Clothing_Product_111,Clothing,2001,S13,,,
I111,U506,P61,purchase,19-08-24,User506,39,Female,Madurai,Accessories_Product_61,Accessories,1746,S31,T31,3,07-02-24
I112,U418,P52,cart,29-09-24,User418,42,Female,Madurai,Clothing_Product_52,Clothing,4190,S5,,,
I113,U631,P131,cart,26-10-24,User631,31,Male,Pune,Home_Product_131,Home,3955,S1,,,
I114,U984,P77,view,19-12-24,User984,38,Male,Madurai,Sports_Product_77,Sports,1183,S20,,,
I115,U909,P192,purchase,05-10-24,User909,38,Female,Madurai,Electronics_Product_192,Electronics,3570,S35,T32,3,28-07-24
I116,U646,P149,purchase,19-08-24,User646,27,Male,Madurai,Electronics_Product_149,Electronics,3838,S38,T33,1,08-10-24
I117,U259,P163,view,05-08-24,User259,41,Male,Pune,Clothing_Product_163,Clothing,3647,S26,,,
I118,U959,P169,cart,10-01-24,User959,20,Male,Chennai,Sports_Product_169,Sports,3340,S18,,,
I119,U279,P96,cart,03-09-24,User279,42,Female,Kolkata,Sports_Product_96,Sports,3936,S8,,,
I120,U364,P38,cart,16-03-24,User364,18,Male,Hyderabad,Accessories_Product_38,Accessories,3212,S9,,,
I121,U806,P74,purchase,12-05-24,User806,34,Female,Kolkata,Accessories_Product_74,Accessories,2441,S28,T34,2,05-09-24
I122,U733,P126,view,05-08-24,User733,20,Male,Delhi,Accessories_Product_126,Accessories,1888,S10,,,
I123,U748,P7,view,09-05-24,User748,22,Female,Bangalore,Clothing_Product_7,Clothing,3469,S42,,,
I124,U192,P1,purchase,06-08-24,User192,37,Male,Madurai,Clothing_Product_1,Clothing,1988,S35,T35,2,26-06-24
I125,U969,P167,view,10-10-24,User969,39,Female,Bangalore,Clothing_Product_167,Clothing,2373,S44,,,
I126,U184,P123,cart,25-01-24,User184,43,Male,Bangalore,Sports_Product_123,Sports,3392,S8,,,
I127,U459,P76,purchase,17-09-24,User459,33,Female,Bangalore,Sports_Product_76,Sports,4125,S7,T36,1,16-07-24
I128,U928,P180,purchase,26-03-24,User928,34,Female,Kolkata,Footwear_Product_180,Footwear,4596,S19,T37,2,20-11-24
I129,U935,P55,purchase,21-06-24,User935,45,Female,Bangalore,Home_Product_55,Home,270,S49,T38,3,02-12-24
I130,U949,P182,cart,29-01-24,User949,35,Female,Hyderabad,Electronics_Product_182,Electronics,1025,S15,,,
I131,U282,P70,purchase,06-05-24,User282,31,Male,Delhi,Sports_Product_70,Sports,2299,S13,T39,2,14-10-24
I132,U613,P15,purchase,07-11-24,User613,34,Male,Kolkata,Home_Product_15,Home,2413,S18,T40,2,22-12-24
I133,U274,P126,cart,12-09-24,User274,29,Female,Mumbai,Footwear_Product_126,Footwear,2972,S12,,,
I134,U778,P47,purchase,24-10-24,User778,40,Female,Madurai,Sports_Product_47,Sports,1424,S4,T41,3,15-06-24
I135,U707,P35,purchase,19-04-24,User707,28,Female,Coimbatore,Sports_Product_35,Sports,2903,S8,T42,1,12-03-24
I136,U263,P58,purchase,21-11-24,User263,35,Male,Trichy,Clothing_Product_58,Clothing,1609,S44,T43,1,25-04-24
I137,U205,P129,purchase,03-12-24,User205,27,Female,Pune,Home_Product_129,Home,234,S50,T44,1,05-06-24
I138,U226,P22,purchase,24-04-24,User226,26,Female,Hyderabad,Sports_Product_22,Sports,4446,S25,T45,1,03-03-24
I139,U356,P36,cart,08-05-24,User356,42,Male,Trichy,Clothing_Product_36,Clothing,536,S23,,,
I140,U95,P186,view,02-06-24,User95,28,Male,Hyderabad,Clothing_Product_186,Clothing,4538,S4,,,
I141,U32,P21,cart,23-07-24,User32,29,Male,Bangalore,Footwear_Product_21,Footwear,2893,S18,,,
I142,U528,P83,view,29-06-24,User528,43,Male,Trichy,Clothing_Product_83,Clothing,2420,S26,,,
I143,U696,P148,view,27-09-24,User696,33,Female,Madurai,Home_Product_148,Home,3425,S20,,,
I144,U648,P78,view,09-03-24,User648,19,Male,Delhi,Home_Product_78,Home,2170,S14,,,
I145,U282,P140,cart,08-05-24,User282,35,Female,Madurai,Clothing_Product_140,Clothing,2344,S31,,,
I146,U413,P182,view,10-07-24,User413,20,Female,Madurai,Clothing_Product_182,Clothing,4750,S47,,,
I147,U702,P149,purchase,12-11-24,User702,27,Female,Delhi,Clothing_Product_149,Clothing,1476,S5,T46,3,13-03-24
I148,U901,P56,purchase,20-06-24,User901,29,Female,Delhi,Accessories_Product_56,Accessories,1474,S25,T47,2,26-07-24
I149,U616,P38,view,31-05-24,User616,39,Male,Madurai,Electronics_Product_38,Electronics,279,S42,,,
I150,U389,P192,view,21-02-24,User389,32,Male,Kolkata,Home_Product_192,Home,3659,S18,,,
I151,U419,P104,cart,24-08-24,User419,19,Male,Coimbatore,Home_Product_104,Home,506,S42,,,
I152,U715,P1,purchase,26-02-24,User715,36,Male,Madurai,Clothing_Product_1,Clothing,4362,S49,T48,2,09-10-24
I153,U802,P146,cart,01-07-24,User802,43,Female,Mumbai,Sports_Product_146,Sports,2164,S7,,,
I154,U975,P92,purchase,29-02-24,User975,42,Male,Pune,Footwear_Product_92,Footwear,3660,S47,T49,2,09-05-24
I155,U641,P198,purchase,11-11-24,User641,31,Female,Kolkata,Clothing_Product_198,Clothing,3138,S19,T50,2,13-08-24
I156,U244,P163,purchase,22-09-24,User244,22,Male,Pune,Home_Product_163,Home,1129,S33,T51,1,05-10-24
I157,U641,P125,purchase,29-12-24,User641,21,Male,Coimbatore,Electronics_Product_125,Electronics,1913,S25,T52,3,30-03-24
I158,U734,P59,cart,07-05-24,User734,28,Female,Mumbai,Clothing_Product_59,Clothing,3979,S48,,,
I159,U379,P127,cart,05-12-24,User379,41,Male,Kolkata,Sports_Product_127,Sports,3809,S26,,,
I160,U124,P147,purchase,16-05-24,User124,44,Male,Delhi,Accessories_Product_147,Accessories,297,S25,T53,2,25-02-24
I161,U669,P20,view,22-08-24,User669,42,Female,Madurai,Footwear_Product_20,Footwear,2563,S10,,,
I162,U996,P135,view,10-05-24,User996,18,Female,Kolkata,Clothing_Product_135,Clothing,2070,S35,,,
I163,U401,P2,purchase,07-05-24,User401,31,Male,Delhi,Home_Product_2,Home,3005,S43,T54,1,08-02-24
I164,U958,P143,purchase,30-03-24,User958,30,Male,Madurai,Footwear_Product_143,Footwear,1976,S28,T55,1,21-01-24
I165,U743,P49,purchase,15-09-24,User743,40,Male,Mumbai,Sports_Product_49,Sports,3461,S50,T56,2,01-03-24
I166,U660,P13,purchase,15-02-24,User660,35,Male,Coimbatore,Accessories_Product_13,Accessories,568,S34,T57,1,07-01-24
I167,U979,P80,view,22-05-24,User979,41,Female,Delhi,Accessories_Product_80,Accessories,1291,S36,,,
I168,U847,P82,purchase,21-11-24,User847,32,Female,Madurai,Home_Product_82,Home,1573,S45,T58,2,23-12-24
I169,U828,P52,cart,22-05-24,User828,29,Male,Hyderabad,Accessories_Product_52,Accessories,4843,S18,,,
I170,U800,P185,view,12-02-24,User800,41,Female,Pune,Home_Product_185,Home,1369,S17,,,
I171,U259,P90,cart,22-05-24,User259,36,Female,Chennai,Accessories_Product_90,Accessories,1420,S9,,,
I172,U232,P51,cart,23-10-24,User232,35,Male,Madurai,Clothing_Product_51,Clothing,3716,S46,,,
I173,U592,P36,view,23-08-24,User592,30,Male,Bangalore,Home_Product_36,Home,832,S10,,,
I174,U59,P8,purchase,26-07-24,User59,30,Female,Delhi,Sports_Product_8,Sports,1258,S44,T59,3,06-10-24
I175,U950,P62,view,12-03-24,User950,27,Male,Kolkata,Accessories_Product_62,Accessories,3123,S48,,,
I176,U231,P77,view,14-03-24,User231,29,Female,Madurai,Sports_Product_77,Sports,2590,S6,,,
I177,U848,P77,purchase,27-12-24,User848,32,Male,Hyderabad,Footwear_Product_77,Footwear,1044,S40,T60,2,15-08-24
I178,U634,P15,cart,10-06-24,User634,23,Male,Bangalore,Clothing_Product_15,Clothing,1121,S28,,,
I179,U601,P63,purchase,16-04-24,User601,34,Female,Bangalore,Sports_Product_63,Sports,1938,S25,T61,3,21-09-24
I180,U834,P184,view,10-05-24,User834,41,Male,Bangalore,Home_Product_184,Home,1851,S49,,,
I181,U388,P170,purchase,06-10-24,User388,37,Male,Hyderabad,Accessories_Product_170,Accessories,508,S41,T62,1,09-12-24
I182,U944,P142,purchase,29-04-24,User944,45,Female,Hyderabad,Home_Product_142,Home,3650,S26,T63,2,09-09-24
I183,U686,P34,view,13-10-24,User686,18,Female,Chennai,Footwear_Product_34,Footwear,4201,S14,,,
I184,U843,P187,cart,21-06-24,User843,25,Male,Bangalore,Home_Product_187,Home,549,S28,,,
I185,U194,P45,cart,14-09-24,User194,24,Female,Madurai,Home_Product_45,Home,3153,S13,,,
I186,U369,P169,view,03-02-24,User369,28,Male,Coimbatore,Home_Product_169,Home,562,S40,,,
I187,U913,P38,view,28-08-24,User913,19,Male,Trichy,Electronics_Product_38,Electronics,3446,S6,,,
I188,U816,P132,cart,26-11-24,User816,27,Female,Hyderabad,Home_Product_132,Home,3085,S31,,,
I189,U566,P123,view,06-08-24,User566,27,Female,Delhi,Clothing_Product_123,Clothing,4752,S18,,,
I190,U886,P156,view,31-07-24,User886,30,Male,Trichy,Electronics_Product_156,Electronics,4965,S8,,,
I191,U588,P136,view,21-02-24,User588,28,Female,Pune,Clothing_Product_136,Clothing,4712,S3,,,
I192,U380,P150,purchase,05-09-24,User380,38,Male,Madurai,Clothing_Product_150,Clothing,3855,S22,T64,3,05-10-24
I193,U945,P42,view,03-07-24,User945,24,Male,Trichy,Electronics_Product_42,Electronics,1414,S38,,,
I194,U414,P82,view,03-08-24,User414,44,Female,Pune,Home_Product_82,Home,2328,S39,,,
I195,U39,P183,cart,18-11-24,User39,25,Female,Kolkata,Clothing_Product_183,Clothing,4708,S19,,,
I196,U805,P159,purchase,08-02-24,User805,40,Male,Hyderabad,Clothing_Product_159,Clothing,3589,S6,T65,1,24-05-24
I197,U744,P165,purchase,30-04-24,User744,24,Male,Hyderabad,Electronics_Product_165,Electronics,4135,S4,T66,3,19-09-24
I198,U807,P53,cart,08-02-24,User807,35,Female,Pune,Home_Product_53,Home,2625,S34,,,
I199,U37,P114,view,20-01-24,User37,18,Female,Kolkata,Electronics_Product_114,Electronics,1541,S36,,,
I200,U724,P151,view,05-12-24,User724,38,Female,Delhi,Sports_Product_151,Sports,1817,S15,,,
I201,U602,P34,view,16-09-24,User602,21,Female,Coimbatore,Home_Product_34,Home,1808,S4,,,
I202,U986,P117,cart,10-11-24,User986,41,Female,Mumbai,Electronics_Product_117,Electronics,276,S1,,,
I203,U34,P43,cart,09-10-24,User34,19,Male,Mumbai,Electronics_Product_43,Electronics,893,S34,,,
I204,U36,P136,view,17-04-24,User36,32,Female,Mumbai,Footwear_Product_136,Footwear,4218,S33,,,
I205,U333,P101,cart,07-02-24,User333,24,Male,Mumbai,Sports_Product_101,Sports,2632,S38,,,
I206,U629,P122,cart,12-01-24,User629,33,Male,Bangalore,Electronics_Product_122,Electronics,4934,S43,,,
I207,U976,P111,purchase,25-10-24,User976,28,Female,Bangalore,Sports_Product_111,Sports,3642,S13,T67,3,20-09-24
I208,U975,P156,cart,04-12-24,User975,35,Female,Trichy,Home_Product_156,Home,4916,S50,,,
I209,U619,P121,cart,17-05-24,User619,39,Female,Trichy,Footwear_Product_121,Footwear,3447,S39,,,
I210,U266,P66,purchase,08-01-24,User266,37,Male,Coimbatore,Electronics_Product_66,Electronics,3948,S23,T68,1,17-09-24
I211,U215,P180,cart,20-06-24,User215,40,Male,Kolkata,Accessories_Product_180,Accessories,3782,S4,,,
I212,U114,P92,purchase,10-05-24,User114,42,Male,Hyderabad,Clothing_Product_92,Clothing,3302,S1,T69,2,22-06-24
I213,U604,P13,cart,11-02-24,User604,28,Male,Bangalore,Footwear_Product_13,Footwear,1251,S50,,,
I214,U302,P105,purchase,23-06-24,User302,25,Male,Delhi,Home_Product_105,Home,4330,S48,T70,3,24-11-24
I215,U310,P76,cart,03-08-24,User310,34,Female,Bangalore,Accessories_Product_76,Accessories,1830,S27,,,
I216,U623,P11,view,03-05-24,User623,38,Male,Mumbai,Home_Product_11,Home,3433,S25,,,
I217,U637,P39,view,02-06-24,User637,41,Female,Chennai,Sports_Product_39,Sports,2717,S29,,,
I218,U175,P173,cart,16-01-24,User175,29,Female,Madurai,Footwear_Product_173,Footwear,3000,S33,,,
I219,U326,P155,cart,25-10-24,User326,38,Female,Madurai,Clothing_Product_155,Clothing,2461,S28,,,
I220,U863,P80,view,23-11-24,User863,33,Male,Madurai,Clothing_Product_80,Clothing,2006,S39,,,
I221,U659,P192,purchase,11-08-24,User659,29,Male,Chennai,Electronics_Product_192,Electronics,1039,S39,T71,3,20-09-24
I222,U167,P34,purchase,25-01-24,User167,20,Male,Chennai,Electronics_Product_34,Electronics,706,S28,T72,3,11-01-24
I223,U57,P3,view,02-10-24,User57,28,Female,Chennai,Clothing_Product_3,Clothing,272,S36,,,
I224,U481,P52,view,31-05-24,User481,36,Female,Mumbai,Electronics_Product_52,Electronics,1696,S14,,,
I225,U909,P16,cart,11-10-24,User909,40,Female,Chennai,Footwear_Product_16,Footwear,2914,S21,,,
I226,U123,P5,cart,04-04-24,User123,34,Male,Delhi,Home_Product_5,Home,1988,S15,,,
I227,U312,P26,view,09-06-24,User312,41,Male,Bangalore,Clothing_Product_26,Clothing,3830,S10,,,
I228,U45,P192,view,25-06-24,User45,19,Male,Coimbatore,Electronics_Product_192,Electronics,1840,S15,,,
I229,U190,P31,purchase,13-04-24,User190,19,Male,Bangalore,Clothing_Product_31,Clothing,2000,S19,T73,3,09-05-24
I230,U433,P64,purchase,17-01-24,User433,41,Female,Mumbai,Sports_Product_64,Sports,2868,S23,T74,2,20-08-24
I231,U889,P158,purchase,13-12-24,User889,30,Male,Kolkata,Accessories_Product_158,Accessories,2202,S32,T75,2,01-04-24
I232,U665,P30,purchase,07-02-24,User665,42,Female,Hyderabad,Footwear_Product_30,Footwear,4560,S20,T76,2,08-07-24
I233,U468,P94,cart,10-06-24,User468,30,Female,Madurai,Electronics_Product_94,Electronics,340,S24,,,
I234,U310,P44,view,17-10-24,User310,22,Male,Delhi,Electronics_Product_44,Electronics,3949,S42,,,
I235,U156,P35,purchase,10-02-24,User156,44,Female,Mumbai,Footwear_Product_35,Footwear,3115,S42,T77,2,28-03-24
I236,U877,P122,cart,09-02-24,User877,31,Male,Madurai,Electronics_Product_122,Electronics,3093,S29,,,
I237,U866,P40,view,10-06-24,User866,20,Male,Coimbatore,Sports_Product_40,Sports,4579,S3,,,
I238,U744,P50,view,01-07-24,User744,41,Female,Madurai,Sports_Product_50,Sports,3110,S33,,,
I239,U830,P171,purchase,24-06-24,User830,38,Male,Delhi,Electronics_Product_171,Electronics,3275,S3,T78,2,10-11-24
I240,U989,P54,purchase,06-05-24,User989,44,Female,Pune,Clothing_Product_54,Clothing,4814,S26,T79,1,03-07-24
I241,U238,P75,view,18-10-24,User238,18,Male,Bangalore,Sports_Product_75,Sports,1309,S15,,,
I242,U519,P69,cart,24-03-24,User519,25,Male,Hyderabad,Footwear_Product_69,Footwear,4897,S33,,,
I243,U923,P139,purchase,04-10-24,User923,43,Female,Coimbatore,Home_Product_139,Home,4958,S33,T80,2,03-04-24
